Исходное слово | Перевод | Количество упоминаний
и | And | 47
в | V | 27
он | He | 24
бернардо | Bernardo | 19
не | Not | 19
марцелла | Marcella | 19
горацио | he was burning | 19
я | I | 16
что | What | 15
на | on | 12
— | None | 12
как | How | 11
этот | this | 10
франсиско | Francisco | 9
это | This | 9
наш | our | 9
мы | We | 9
когда | When | 9
вот | Here | 8
по | by | 7
с | with | 7
так | So | 7
кто | Who | 6
быть | be | 6
ты | You | 6
призрак | ghost | 5
для | for | 5
молви! | pray! | 5
при | at | 5
покойный | late | 4
тот | That | 4
к | To | 4
бы | would | 4
такой | such | 4
весь | all | 4
входить | enters | 3
бернардо. | Bernardo. | 3
сам | alone | 3
король | king | 3
вы | You | 3
ночи. | nights. | 3
если | If | 3
что, | What, | 3
ну | Well | 3
где | Where | 3
горацио. | Horatio. | 3
который | which | 3
же | same | 3
но | But | 3
чей | whose | 3
от | from | 3
то | That | 3
земля | Earth | 3
перед | before | 2
стоить | cost | 2
да | yes | 2
самый | most | 2
время. | time. | 2
или | or | 2
будто | as if | 2
стой! | stop! | 2
марцелл. | Marcel. | 2
богом, | by God, | 2
а | A | 2
прийти | come | 2
сегодня | Today | 2
ночи, | nights, | 2
и, | And, | 2
пусть | let | 2
чушь, | nonsense, | 2
сесть | sit down | 2
звезда, | star, | 2
область | region | 2
смотри, | Look, | 2
опять! | again! | 2
похожий | similar | 2
короля? | king? | 2
час | time | 2
мёртвый | dead | 2
ступать | step | 2
заклинаю, | I conjure you, | 2
уходит. | leaves. | 2
сказать | say | 2
немой | dumb | 2
грозный | formidable | 2
чем | how | 2
стать | become | 2
есть | There is | 2
норвежский | Norwegian | 2
вместе | together | 2
жизнь | life | 2
себя | myself | 2
чтоб | so that | 2
высокий | high | 2
спешить | hurry | 2
иль | or | 2
молвь | rumor | 2
мне! | to me! | 2
вы, | You, | 2
духи, | perfume, | 2
петух. | rooster. | 2
да, | yes, | 2
здесь! | Here! | 2
свой | mine | 2
то, | That, | 2
акт | act | 1
i | i | 1
сцена | scene | 1
1 | 1 | 1
эльсинор. | Elsinore. | 1
площадка | playground | 1
замком. | castle. | 1
страже. | guards. | 1
здесь? | Here? | 1
нет, | No, | 1
ответить | answer | 1
мне; | to me; | 1
объявись. | show up. | 1
здравствует! | Hello! | 1
бернардо? | Bernardo? | 1
он. | He. | 1
пожаловать | Welcome | 1
двенадцать | twelve | 1
бьет; | hits; | 1
идти | go | 1
ложись, | lie down, | 1
франсиско. | Francisco. | 1
спасибо, | Thank you, | 1
сменили; | changed; | 1
холод | cold | 1
резкий, | cutting, | 1
себе. | to yourself. | 1
всё | All | 1
тихо? | quiet? | 1
мышь | mouse | 1
шевельнулась. | moved. | 1
ну, | Well, | 1
добрый | Kind | 1
встретить | meet | 1
остальной | the rest | 1
горацио, | Horatio, | 1
поторопить | hurry up | 1
их. | a lot. | 1
они | They | 1
слышу. | I hear. | 1
тут? | here? | 1
друг | other | 1
стране. | side. | 1
человек | Human | 1
датский | Danish | 1
службы. | services. | 1
честный | honest | 1
воин; | warrior; | 1
сменить | change | 1
тебя? | you? | 1
(уходит.) | (leaves.) | 1
эй! | Hey! | 1
бернардо! | Bernardo! | 1
тобой? | you? | 1
кусок | piece | 1
его. | his. | 1
привет, | Hello, | 1
горацио; | he was burning | 1
